STATION,STNAME,LATITUDE,LONGITUDE,FISHING,FISH,Field pH,Field DO,Field Temp,Field SampTemp,Field AirTemp,Field SampDepth,Field Turb,Field EC,EC,Color,Temp,pH,Total Alk,BiCarb,Cab,OH,Hardness,CalcHardness,Calc TDS,TSS,Ca,Cl,Mg,Nitrate,Nitrite,NO3+NO2,Ammonia,Kjeldahl N,Total N,DO,Total P,FRP,K,Na,SO4,Al,As,Cd,Cr,Cu,F,Fe,Pb,Mn,Hg,Mo,Ni,Se,SiO2,Zn,Anions,Cations,TOC,DOC,Chlorophyll-a,Phaeophytin,LOCATION,BOATING,ZONETYPE,ZONESUBTYP,DISPLAY_HE,ZONEID
224213,DARGO RIVER,-37.49511762,147.2686992,0,,358,362,0,0,0,360,375,0,0,367,0,1,0,0,0,0,0,0,0,367,0,0,0,0,0,0,7,367,0,0,367,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOWER DARGO ROAD,0,,,,
224214,WENTWORTH RIVER,-37.49524466,147.3937727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TABBERABBERA,0,,,,
224217,MITCHELL RIVER,-37.81500036,147.5722231,1,Bream,639,639,0,0,0,641,691,0,0,1035,0,2,0,0,0,0,0,0,0,1034,0,0,0,0,0,0,4,1043,0,0,1043,1027,0,0,0,0,149,149,149,149,0,0,149,0,149,0,149,0,0,149,0,0,0,0,0,0,ROSEHILL,0,,,,
224220,RAIN GAUGE (BOGGY CREEK),-37.67565758,147.5507337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BULLUMWAAL,0,,,,
224222,MITCHELL RIVER,-37.73655,147.3682,1,Bream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLENALADALE PUMPHOUSE,0,,,,
225114,THOMSON RIVER,-37.71277777,146.2819456,0,,303,303,0,0,0,301,317,0,0,316,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,8,317,0,0,317,312,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,D/S WHITELAWS CREEK,0,,,,
225201,AVON RIVER,-37.9685868,147.0760061,0,,327,327,0,0,0,326,340,0,0,334,0,1,0,0,0,0,0,0,0,323,0,0,0,0,0,0,8,334,0,0,334,333,0,0,0,0,214,214,214,214,0,0,214,0,214,0,214,0,0,214,0,0,0,0,0,0,STRATFORD,0,,,,
225209,MACALISTER RIVER,-37.62961037,146.6233123,0,,480,480,0,0,0,480,500,0,0,343,8,84,122,0,0,0,0,0,0,347,122,122,122,0,0,0,8,340,4,8,351,290,121,122,122,0,0,0,0,0,1,48,0,48,0,0,0,0,46,0,0,0,47,0,0,0,LICOLA,0,,,,
225210,THOMSON RIVER,-37.89101,146.40282,1,Mulloway,362,362,0,0,0,360,377,0,0,362,1,1,0,0,0,0,0,0,0,361,0,0,0,0,0,0,8,362,0,1,362,354,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,THE NARROWS,0,,,,
225212,THOMSON RIVER,-38.01068638,146.8810046,0,,251,251,0,0,0,251,266,0,0,152,1,28,28,0,0,0,0,0,0,150,28,28,28,0,0,0,0,151,0,0,152,149,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WANDOCKA,0,,,,
225213,ABERFELDY RIVER,-37.85381845,146.4331719,0,,279,279,0,0,0,277,292,0,0,280,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,278,0,0,278,266,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,BEARDMORE,0,,,,
225218,FREESTONE CREEK,-37.8101256,147.0950473,0,,350,350,0,0,0,350,362,0,0,179,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,180,0,0,180,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRIAGALONG,0,,,,
225219,MACALISTER RIVER,-37.51621523,146.5664779,0,,44,44,0,0,0,44,51,0,0,0,7,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,GLENCAIRN,0,,,,
225223,VALENCIA CREEK,-37.74346413,146.9922931,0,,266,265,0,0,0,264,279,0,0,242,0,27,27,0,0,0,0,0,0,241,27,27,27,0,0,0,0,241,0,0,241,239,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GILLIO ROAD,0,,,,
225224,AVON RIVER,-37.80184085,146.8849073,0,,309,309,0,0,0,309,328,0,0,144,6,5,0,0,0,0,0,0,0,144,0,0,0,0,0,0,8,144,0,6,149,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THE CHANNEL,0,,,,
225231,THOMSON RIVER,-37.97499864,146.625004,0,,207,207,0,0,0,204,220,0,0,216,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,8,215,0,0,215,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U/S OF COWWARR WEIR,0,,,,
225232,THOMSON RIVER,-38.04526544,146.9921134,0,,251,250,0,0,0,249,785,0,0,696,530,14,0,0,0,0,0,0,0,678,0,0,0,0,0,0,19,692,465,456,1155,691,0,0,0,0,640,640,640,640,0,0,640,0,640,0,640,0,0,640,0,0,0,0,0,0,BUNDALAGUAH,0,,,,
225234,AVON RIVER,-38.0238042,147.1736143,0,,632,632,0,0,0,631,802,0,0,720,117,61,0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,719,49,103,814,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLYDEBANK (CHINN'S BRIDGE),0,,,,
225247,MACALISTER RIVER,-38.02567825,146.9777193,0,,118,118,0,0,0,118,258,0,0,128,125,58,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,127,54,95,231,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIVERSLEA,0,,,,
225801,RAIN GAUGE (MACALISTER RIVER),-37.84995739,146.5562903,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MURDERERS HILL,0,,,,
225802,RAIN GAUGE (MACALISTER RIVER),-37.46514422,146.6895905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT TAMBORITHA,0,,,,
225809,RAIN GAUGE (AVON RIVER),-37.4960855,146.8575938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT WELLINGTON,0,,,,
