AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area
0.00000634978,0.03354259299,Burrumbeet-Lake_0029,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",30/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.g,Tad Knaggs,0.03354259202,0.00000634978
0.00001903318,0.02384978823,Burrumbeet-Lake_0030,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",31/05/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.h,Tad Knaggs,0.02384978679,0.00001903318
0.00000019913,0.00183681015,Charlegrark-Lake_0002,"145",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",23/04/2012,,14.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 145, Clause 9",NoBoating.png,145-2,Tad Knaggs,0.00183680886,0.00000019913
0.00014107319,0.06270599989,Colac-Lake_0002,"146",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",4/03/2013,,15.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 146, Clause 9",NoBoating.png,146-2,Tad Knaggs,0.06270599788,0.00014107319
0.00000056663,0.00390816968,CurdiesRiver_0002,"024",Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,"11",29/05/2009,,17.00000000000,,No Wash,,"0",,AUTO,"Refer to Schedule 024, Clause 11",NA.png,024-3,Brad Griffiths,0.00390816991,0.00000056663
0.00000251724,0.00638992437,FletchersDam_0001,"101",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",9/05/2012,,20.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 101, Clause 9",NoBoating.png,101-1,Tad Knaggs,0.00638992314,0.00000251724
0.00057907492,1.74487475979,GlenelgRiver_0007,"031",Geomatic Technologies,VicMap Modified,Activities Prohibited,Houseboats,"12",2/05/2008,,23.00000000000,,Activities Prohibited (Houseboats),,"0",,AUTO,"Refer to Schedule 031, Clause 12",NA.png,031-6,Jamie Portman,1.74487475870,0.00057907492
0.00000053889,0.00447379682,GreenHillLake_0001,"054",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",1/12/2011,,25.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 054, Clause 5",SkiingPermitted.png,054-1,Tad Knaggs,0.00447379790,0.00000053889
0.00000145235,0.00668730685,GreenHillLake_0003,"054",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",18/01/2012,,25.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 054, Clause 9",NoBoating.png,054-3.a,Tad Knaggs,0.00668730876,0.00000145235
0.00000443576,0.00896217072,GreenHillLake_0004,"054",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",19/01/2012,,25.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 054, Clause 9",NoBoating.png,054-3.b,Tad Knaggs,0.00896217135,0.00000443576
